open_time,open,high,low,close,volume,close_time,q,n,taker_base,taker_quote,ignore
1762375320000,103938.50,103953.90,103679.20,103885.5,795.133,1762375379999,82633869.12630,259,1.749,181813.09280,0
1762375380000,103885.60,103887.10,103568.60,103858.8,490.967,1762375439999,50999619.27660,232,2.483,257925.96530,0
1762375440000,103858.90,103887.10,103831.00,103854.5,880.020,1762375499999,91384413.22980,228,1.150,119457.66940,0
1762375500000,103854.50,103866.70,102624.50,103858.7,110.244,1762375559999,11443184.68220,239,4.310,447562.47500,0
1762375560000,103841.60,103848.10,103655.20,103743.6,1222.533,1762375619999,126907537.27850,266,1.001,103885.46400,0
1762375620000,103765.50,103907.70,102613.80,103695.9,182.779,1762375679999,18956941.18410,189,10.378,1076006.96180,0
1762375680000,103695.60,103696.10,103695.50,103696.1,2.406,1762375739999,249491.65000,82,0.449,46559.46070,0
1762375740000,103699.50,103771.40,103695.50,103771.4,1397.366,1762375799999,144958118.82010,292,1396.684,144887398.46870,0
1762375800000,103770.50,103844.20,103354.10,103844.1,4035.626,1762375859999,418889175.39380,606,4032.973,418614043.42810,0
1762375860000,103844.20,104530.00,103613.10,103775.1,982.773,1762375919999,102061563.79090,312,979.764,101749211.08870,0
1762375920000,103785.50,103796.10,103745.30,103791.5,2292.742,1762375979999,237911221.34370,489,53.035,5504465.83780,0
1762375980000,103770.90,103895.50,103735.00,103813.0,574.495,1762376039999,59598168.81830,220,4.152,430930.68630,0
1762376040000,103808.80,103834.80,103532.30,103616.2,2334.324,1762376099999,242346085.20110,367,2287.535,237489068.09090,0
1762376100000,103616.20,104530.00,103585.00,104530.0,489.048,1762376159999,50798202.10260,175,488.063,50695888.88340,0
1762376160000,103945.50,104530.00,103168.60,103933.3,1807.187,1762376219999,187761670.08470,394,1692.254,175822261.10210,0
1762376220000,103933.40,103933.40,103887.40,103933.4,41.746,1762376279999,4337201.91960,111,0.684,71090.38760,0
1762376280000,103887.50,103914.90,103433.20,103781.1,500.276,1762376339999,51958368.06230,213,19.885,2063786.97790,0
1762376340000,103781.00,103806.10,103499.40,103806.1,964.453,1762376399999,100097587.03920,263,763.246,79216400.73730,0
